year,importer1,importer2,flow1,flow2
1870,United States of America,United Kingdom,152,
1870,United Kingdom,France,181.94,
1870,United Kingdom,Germany,74.52,
1870,United Kingdom,Russia,99.47,
1870,Germany,Russia,52.57,
1870,United Kingdom,Netherlands,43,
1870,Netherlands,Germany,41.78,
1870,Belgium,France,44.42,
1870,France,Italy,47.18,
1870,United States of America,France,43,
1870,United Kingdom,Belgium,54.41,
1870,United Kingdom,China,46.56,
1870,United States of America,Germany,27,
1870,United Kingdom,Italy,21.23,
1870,United Kingdom,Turkey,32.1,
1870,Brazil,United Kingdom,26.82,
1870,United Kingdom,Sweden,41.56,
1870,Belgium,Germany,23.26,
1870,Netherlands,Belgium,22.71,
1870,United Kingdom,Spain,29.35,
1870,France,Germany,20.68,
1870,France,Russia,23.59,
1870,Switzerland,Italy,24.71,
1870,France,Spain,14.85,
1870,Peru,United Kingdom,8.52,
1870,Chile,United Kingdom,13.38,
1870,United Kingdom,Portugal,14.62,
1870,Austria-Hungary,Italy,0,
1870,United Kingdom,Denmark,14.77,
1870,Argentina,United Kingdom,12.57,
1870,United States of America,Italy,6.4,
1870,Netherlands,Russia,9.33,
1870,Russia,Turkey,6.12,
1870,United States of America,China,12,
1870,Belgium,Russia,8.19,
1870,Germany,Sweden,2.43,
1870,United Kingdom,Greece,6.18,
1870,Sweden,Denmark,8.38,
1870,Italy,Russia,6.02,
1870,United States of America,Belgium,2.09,
1870,Argentina,Belgium,0,
1870,United Kingdom,Japan,0.46,
1870,United States of America,Mexico,3,
1870,Colombia,United Kingdom,2.8,
1870,Austria-Hungary,Russia,0,
1870,Mexico,United Kingdom,5.11,
1870,China,Japan,2.03,
1870,France,Sweden,4.59,
1870,United Kingdom,Austria-Hungary,5.34,
1870,All Other Trade,All Other Trade,1.21,
1870,All Other Trade,All Other Trade,2.42,
1870,All Other Trade,All Other Trade,0.65,
1870,All Other Trade,All Other Trade,3,
1870,All Other Trade,All Other Trade,1.19,
1870,All Other Trade,All Other Trade,1.91,
1870,All Other Trade,All Other Trade,3.67,
1870,All Other Trade,All Other Trade,1.86,
1870,All Other Trade,All Other Trade,0.85,
1870,All Other Trade,All Other Trade,0.91,
1870,All Other Trade,All Other Trade,1.94,
1870,All Other Trade,All Other Trade,0,
1870,All Other Trade,All Other Trade,1.15,
1870,All Other Trade,All Other Trade,0.21,
1870,All Other Trade,All Other Trade,1.32,
1870,All Other Trade,All Other Trade,0.27,
1870,All Other Trade,All Other Trade,1.3,
1870,All Other Trade,All Other Trade,0.71,
1870,All Other Trade,All Other Trade,0.62,
1870,All Other Trade,All Other Trade,0.28,
1870,All Other Trade,All Other Trade,0.52,
1870,All Other Trade,All Other Trade,0.42,
1870,All Other Trade,All Other Trade,0.58,
1870,All Other Trade,All Other Trade,0,
1875,United States of America,United Kingdom,106.41,
1875,United Kingdom,France,227.34,
1875,Germany,Russia,80.59,
1875,Belgium,France,108.39,
1875,France,Germany,86.92,
1875,Netherlands,Germany,64.72,
1875,France,Italy,79.26,
1875,United Kingdom,Russia,100.77,
1875,France,Switzerland,63.55,
1875,United Kingdom,Netherlands,72.19,
1875,Belgium,Germany,83.11,
1875,United States of America,France,69.57,
1875,United Kingdom,Germany,100.77,
1875,United Kingdom,Belgium,72.12,
1875,United Kingdom,China,66.21,
1875,United States of America,Germany,40,
1875,Netherlands,Belgium,42.21,
1875,Austria-Hungary,Italy,33.07,
1875,Brazil,United Kingdom,33.42,
1875,United Kingdom,Sweden,43.39,
1875,France,Spain,22.81,
1875,United Kingdom,Turkey,31.9,
1875,United Kingdom,Spain,42.14,
1875,France,Russia,46.03,
1875,United Kingdom,Italy,22.54,
1875,United States of America,Brazil,42,
1875,France,Turkey,27.67,
1875,Germany,Denmark,13.26,
1875,United Kingdom,Portugal,21.62,
1875,United Kingdom,Denmark,20.64,
1875,Peru,United Kingdom,7.75,
1875,Austria-Hungary,Russia,12.2,
1875,Chile,United Kingdom,10.74,
1875,Switzerland,Italy,18.87,
1875,Netherlands,Russia,14.87,
1875,France,Japan,14.57,
1875,Belgium,Russia,15.75,
1875,France,China,17.77,
1875,Russia,Turkey,11.23,
1875,Netherlands,France,11.05,
1875,Germany,Sweden,3.46,
1875,Argentina,United Kingdom,11.61,
1875,Brazil,France,17.75,
1875,United States of America,Belgium,3.19,
1875,Argentina,France,16.75,
1875,France,Austria-Hungary,11.83,
1875,United States of America,Spain,3.07,
1875,United Kingdom,Greece,8.57,
1875,United Kingdom,Japan,1.83,
1875,All Other Trade,All Other Trade,6.12,
1875,All Other Trade,All Other Trade,4.84,
1875,All Other Trade,All Other Trade,11.43,
1875,All Other Trade,All Other Trade,5.02,
1875,All Other Trade,All Other Trade,6.41,
1875,All Other Trade,All Other Trade,9.07,
1875,All Other Trade,All Other Trade,5,
1875,All Other Trade,All Other Trade,4.15,
1875,All Other Trade,All Other Trade,0.83,
