year,importer1,importer2,flow1,flow2
1985,Male' ,North Thiladhunmathi (HA),1527,59
1985,Male' ,South Thiladhunmathi (HDh),1527,71
1985,Male' ,North Miladhunmadulu (Sh),674,24
1985,Male' ,South Miladhunmadulu (N),1009,53
1985,Male' ,North Maalhosmadulu (R),1170,42
1985,Male' ,South Maalhosmadulu (B),836,76
1985,Male' ,Faadhippolhu (Lh),1015,67
1985,Male' ,Male' Atoll (K),312,361
1985,Male' ,North Ari Atoll (AA),711,66
1985,Male' ,South Ari Atoll (ADh),0,0
1985,Male' ,Felidhu Atoll (V),172,31
1985,Male' ,Mulakatholhu (M),641,24
1985,Male' ,North Nilandhe Atoll (F),274,10
1985,Male' ,South Nilandhe Atoll (Dh),618,26
1985,Male' ,Kolhumadulu (Th),1551,55
1985,Male' ,Hadhdhunmathi (L),686,18
1985,Male' ,North Huvadhu Atoll (GA),719,20
1985,Male' ,South Huvadhu Atoll (GDh),1901,39
1985,Male' ,Gnaviyani (Gn),612,15
1985,Male' ,Addu (S),2654,64
1985,North Thiladhunmathi (HA),South Thiladhunmathi (HDh),25,29
1985,North Thiladhunmathi (HA),North Miladhunmadulu (Sh),17,3
1985,North Thiladhunmathi (HA),South Miladhunmadulu (N),6,7
1985,North Thiladhunmathi (HA),North Maalhosmadulu (R),4,1
1985,North Thiladhunmathi (HA),South Maalhosmadulu (B),6,12
1985,North Thiladhunmathi (HA),Faadhippolhu (Lh),12,43
1985,North Thiladhunmathi (HA),Male' Atoll (K),1,236
1985,North Thiladhunmathi (HA),North Ari Atoll (AA),8,27
1985,North Thiladhunmathi (HA),South Ari Atoll (ADh),0,0
1985,North Thiladhunmathi (HA),Felidhu Atoll (V),0,9
1985,North Thiladhunmathi (HA),Mulakatholhu (M),6,16
1985,North Thiladhunmathi (HA),North Nilandhe Atoll (F),1,7
1985,North Thiladhunmathi (HA),South Nilandhe Atoll (Dh),5,3
1985,North Thiladhunmathi (HA),Kolhumadulu (Th),12,15
1985,North Thiladhunmathi (HA),Hadhdhunmathi (L),22,4
1985,North Thiladhunmathi (HA),North Huvadhu Atoll (GA),12,1
1985,North Thiladhunmathi (HA),South Huvadhu Atoll (GDh),15,4
1985,North Thiladhunmathi (HA),Gnaviyani (Gn),7,1
1985,North Thiladhunmathi (HA),Addu (S),19,8
1985,South Thiladhunmathi (HDh),North Miladhunmadulu (Sh),34,37
1985,South Thiladhunmathi (HDh),South Miladhunmadulu (N),9,19
1985,South Thiladhunmathi (HDh),North Maalhosmadulu (R),1,5
1985,South Thiladhunmathi (HDh),South Maalhosmadulu (B),1,31
1985,South Thiladhunmathi (HDh),Faadhippolhu (Lh),1,28
1985,South Thiladhunmathi (HDh),Male' Atoll (K),1,390
1985,South Thiladhunmathi (HDh),North Ari Atoll (AA),0,68
1985,South Thiladhunmathi (HDh),South Ari Atoll (ADh),0,0
1985,South Thiladhunmathi (HDh),Felidhu Atoll (V),1,21
1985,South Thiladhunmathi (HDh),Mulakatholhu (M),4,5
1985,South Thiladhunmathi (HDh),North Nilandhe Atoll (F),2,3
1985,South Thiladhunmathi (HDh),South Nilandhe Atoll (Dh),2,1
1985,South Thiladhunmathi (HDh),Kolhumadulu (Th),5,33
1985,South Thiladhunmathi (HDh),Hadhdhunmathi (L),4,4
1985,South Thiladhunmathi (HDh),North Huvadhu Atoll (GA),10,6
1985,South Thiladhunmathi (HDh),South Huvadhu Atoll (GDh),5,9
1985,South Thiladhunmathi (HDh),Gnaviyani (Gn),6,6
1985,South Thiladhunmathi (HDh),Addu (S),16,1
1985,North Miladhunmadulu (Sh),South Miladhunmadulu (N),24,18
1985,North Miladhunmadulu (Sh),North Maalhosmadulu (R),13,13
1985,North Miladhunmadulu (Sh),South Maalhosmadulu (B),1,3
1985,North Miladhunmadulu (Sh),Faadhippolhu (Lh),1,12
1985,North Miladhunmadulu (Sh),Male' Atoll (K),1,189
1985,North Miladhunmadulu (Sh),North Ari Atoll (AA),0,23
1985,North Miladhunmadulu (Sh),South Ari Atoll (ADh),0,0
1985,North Miladhunmadulu (Sh),Felidhu Atoll (V),1,4
1985,North Miladhunmadulu (Sh),Mulakatholhu (M),4,2
1985,North Miladhunmadulu (Sh),North Nilandhe Atoll (F),3,1
1985,North Miladhunmadulu (Sh),South Nilandhe Atoll (Dh),9,1
1985,North Miladhunmadulu (Sh),Kolhumadulu (Th),2,2
1985,North Miladhunmadulu (Sh),Hadhdhunmathi (L),4,0
1985,North Miladhunmadulu (Sh),North Huvadhu Atoll (GA),8,2
1985,North Miladhunmadulu (Sh),South Huvadhu Atoll (GDh),7,2
1985,North Miladhunmadulu (Sh),Gnaviyani (Gn),6,0
1985,North Miladhunmadulu (Sh),Addu (S),16,0
1985,South Miladhunmadulu (N),North Maalhosmadulu (R),4,19
1985,South Miladhunmadulu (N),South Maalhosmadulu (B),3,2
1985,South Miladhunmadulu (N),Faadhippolhu (Lh),11,86
1985,South Miladhunmadulu (N),Male' Atoll (K),3,266
1985,South Miladhunmadulu (N),North Ari Atoll (AA),3,44
1985,South Miladhunmadulu (N),South Ari Atoll (ADh),0,0
1985,South Miladhunmadulu (N),Felidhu Atoll (V),0,3
1985,South Miladhunmadulu (N),Mulakatholhu (M),1,8
1985,South Miladhunmadulu (N),North Nilandhe Atoll (F),0,5
1985,South Miladhunmadulu (N),South Nilandhe Atoll (Dh),3,0
1985,South Miladhunmadulu (N),Kolhumadulu (Th),4,48
1985,South Miladhunmadulu (N),Hadhdhunmathi (L),11,6
1985,South Miladhunmadulu (N),North Huvadhu Atoll (GA),10,1
1985,South Miladhunmadulu (N),South Huvadhu Atoll (GDh),8,1
1985,South Miladhunmadulu (N),Gnaviyani (Gn),2,0
1985,South Miladhunmadulu (N),Addu (S),8,6
1985,North Maalhosmadulu (R),South Maalhosmadulu (B),38,66
1985,North Maalhosmadulu (R),Faadhippolhu (Lh),7,53
1985,North Maalhosmadulu (R),Male' Atoll (K),3,143
1985,North Maalhosmadulu (R),North Ari Atoll (AA),4,47
1985,North Maalhosmadulu (R),South Ari Atoll (ADh),0,0
1985,North Maalhosmadulu (R),Felidhu Atoll (V),1,10
1985,North Maalhosmadulu (R),Mulakatholhu (M),3,8
1985,North Maalhosmadulu (R),North Nilandhe Atoll (F),0,4
1985,North Maalhosmadulu (R),South Nilandhe Atoll (Dh),9,2
1985,North Maalhosmadulu (R),Kolhumadulu (Th),6,20
1985,North Maalhosmadulu (R),Hadhdhunmathi (L),10,10
1985,North Maalhosmadulu (R),North Huvadhu Atoll (GA),7,1
1985,North Maalhosmadulu (R),South Huvadhu Atoll (GDh),16,1
1985,North Maalhosmadulu (R),Gnaviyani (Gn),2,1
1985,North Maalhosmadulu (R),Addu (S),12,0
1985,South Maalhosmadulu (B),Faadhippolhu (Lh),14,17
1985,South Maalhosmadulu (B),Male' Atoll (K),2,41
1985,South Maalhosmadulu (B),North Ari Atoll (AA),57,24
1985,South Maalhosmadulu (B),South Ari Atoll (ADh),0,0
1985,South Maalhosmadulu (B),Felidhu Atoll (V),1,7
1985,South Maalhosmadulu (B),Mulakatholhu (M),2,1
1985,South Maalhosmadulu (B),North Nilandhe Atoll (F),6,3
1985,South Maalhosmadulu (B),South Nilandhe Atoll (Dh),6,0
1985,South Maalhosmadulu (B),Kolhumadulu (Th),15,6
1985,South Maalhosmadulu (B),Hadhdhunmathi (L),8,0
1985,South Maalhosmadulu (B),North Huvadhu Atoll (GA),4,0
1985,South Maalhosmadulu (B),South Huvadhu Atoll (GDh),10,1
1985,South Maalhosmadulu (B),Gnaviyani (Gn),3,0
1985,South Maalhosmadulu (B),Addu (S),13,2
1985,Faadhippolhu (Lh),Male' Atoll (K),17,76
1985,Faadhippolhu (Lh),North Ari Atoll (AA),13,18
1985,Faadhippolhu (Lh),South Ari Atoll (ADh),0,0
1985,Faadhippolhu (Lh),Felidhu Atoll (V),1,17
1985,Faadhippolhu (Lh),Mulakatholhu (M),4,3
1985,Faadhippolhu (Lh),North Nilandhe Atoll (F),1,3
1985,Faadhippolhu (Lh),South Nilandhe Atoll (Dh),1,1
1985,Faadhippolhu (Lh),Kolhumadulu (Th),1,5
1985,Faadhippolhu (Lh),Hadhdhunmathi (L),5,47
1985,Faadhippolhu (Lh),North Huvadhu Atoll (GA),4,66
1985,Faadhippolhu (Lh),South Huvadhu Atoll (GDh),7,6
1985,Faadhippolhu (Lh),Gnaviyani (Gn),17,0
1985,Faadhippolhu (Lh),Addu (S),8,16
1985,Male' Atoll (K),North Ari Atoll (AA),111,6
1985,Male' Atoll (K),South Ari Atoll (ADh),0,0
1985,Male' Atoll (K),Felidhu Atoll (V),13,4
1985,Male' Atoll (K),Mulakatholhu (M),41,6
1985,Male' Atoll (K),North Nilandhe Atoll (F),27,0
1985,Male' Atoll (K),South Nilandhe Atoll (Dh),33,0
1985,Male' Atoll (K),Kolhumadulu (Th),56,5
1985,Male' Atoll (K),Hadhdhunmathi (L),120,0
1985,Male' Atoll (K),North Huvadhu Atoll (GA),79,3
1985,Male' Atoll (K),South Huvadhu Atoll (GDh),163,0
1985,Male' Atoll (K),Gnaviyani (Gn),241,1
1985,Male' Atoll (K),Addu (S),732,2
1985,North Ari Atoll (AA),South Ari Atoll (ADh),0,0
1985,North Ari Atoll (AA),Felidhu Atoll (V),10,4
1985,North Ari Atoll (AA),Mulakatholhu (M),6,2
1985,North Ari Atoll (AA),North Nilandhe Atoll (F),33,6
1985,North Ari Atoll (AA),South Nilandhe Atoll (Dh),3,6
1985,North Ari Atoll (AA),Kolhumadulu (Th),19,0
1985,North Ari Atoll (AA),Hadhdhunmathi (L),28,0
1985,North Ari Atoll (AA),North Huvadhu Atoll (GA),6,2
1985,North Ari Atoll (AA),South Huvadhu Atoll (GDh),17,1
1985,North Ari Atoll (AA),Gnaviyani (Gn),10,2
1985,North Ari Atoll (AA),Addu (S),64,1
1985,South Ari Atoll (ADh),Felidhu Atoll (V),0,0
1985,South Ari Atoll (ADh),Mulakatholhu (M),0,0
1985,South Ari Atoll (ADh),North Nilandhe Atoll (F),0,0
1985,South Ari Atoll (ADh),South Nilandhe Atoll (Dh),0,0
1985,South Ari Atoll (ADh),Kolhumadulu (Th),0,0
1985,South Ari Atoll (ADh),Hadhdhunmathi (L),0,0
1985,South Ari Atoll (ADh),North Huvadhu Atoll (GA),0,0
1985,South Ari Atoll (ADh),South Huvadhu Atoll (GDh),0,0
1985,South Ari Atoll (ADh),Gnaviyani (Gn),0,0
1985,South Ari Atoll (ADh),Addu (S),0,0
1985,Felidhu Atoll (V),Mulakatholhu (M),42,2
1985,Felidhu Atoll (V),North Nilandhe Atoll (F),20,0
1985,Felidhu Atoll (V),South Nilandhe Atoll (Dh),9,3
1985,Felidhu Atoll (V),Kolhumadulu (Th),1,4
1985,Felidhu Atoll (V),Hadhdhunmathi (L),1,0
1985,Felidhu Atoll (V),North Huvadhu Atoll (GA),1,1
1985,Felidhu Atoll (V),South Huvadhu Atoll (GDh),1,0
1985,Felidhu Atoll (V),Gnaviyani (Gn),5,0
1985,Felidhu Atoll (V),Addu (S),1,0
1985,Mulakatholhu (M),North Nilandhe Atoll (F),0,1
1985,Mulakatholhu (M),South Nilandhe Atoll (Dh),5,2
1985,Mulakatholhu (M),Kolhumadulu (Th),13,6
1985,Mulakatholhu (M),Hadhdhunmathi (L),5,5
1985,Mulakatholhu (M),North Huvadhu Atoll (GA),0,1
1985,Mulakatholhu (M),South Huvadhu Atoll (GDh),0,3
1985,Mulakatholhu (M),Gnaviyani (Gn),0,0
1985,Mulakatholhu (M),Addu (S),3,2
1985,North Nilandhe Atoll (F),South Nilandhe Atoll (Dh),4,4
1985,North Nilandhe Atoll (F),Kolhumadulu (Th),0,8
1985,North Nilandhe Atoll (F),Hadhdhunmathi (L),3,5
1985,North Nilandhe Atoll (F),North Huvadhu Atoll (GA),3,0
1985,North Nilandhe Atoll (F),South Huvadhu Atoll (GDh),1,2
1985,North Nilandhe Atoll (F),Gnaviyani (Gn),0,0
1985,North Nilandhe Atoll (F),Addu (S),0,1
1985,South Nilandhe Atoll (Dh),Kolhumadulu (Th),11,2
1985,South Nilandhe Atoll (Dh),Hadhdhunmathi (L),5,3
1985,South Nilandhe Atoll (Dh),North Huvadhu Atoll (GA),2,1
1985,South Nilandhe Atoll (Dh),South Huvadhu Atoll (GDh),1,0
1985,South Nilandhe Atoll (Dh),Gnaviyani (Gn),1,1
1985,South Nilandhe Atoll (Dh),Addu (S),2,0
1985,Kolhumadulu (Th),Hadhdhunmathi (L),6679,7038
1985,Kolhumadulu (Th),North Huvadhu Atoll (GA),1,8
1985,Kolhumadulu (Th),South Huvadhu Atoll (GDh),2,2
1985,Kolhumadulu (Th),Gnaviyani (Gn),1,1
1985,Kolhumadulu (Th),Addu (S),0,2
1985,Hadhdhunmathi (L),North Huvadhu Atoll (GA),4,3
1985,Hadhdhunmathi (L),South Huvadhu Atoll (GDh),8,5
1985,Hadhdhunmathi (L),Gnaviyani (Gn),1,1
1985,Hadhdhunmathi (L),Addu (S),4,2
1985,North Huvadhu Atoll (GA),South Huvadhu Atoll (GDh),38,49
1985,North Huvadhu Atoll (GA),Gnaviyani (Gn),29,7
1985,North Huvadhu Atoll (GA),Addu (S),33,37
1985,South Huvadhu Atoll (GDh),Gnaviyani (Gn),7,13
1985,South Huvadhu Atoll (GDh),Addu (S),58,97
1985,Gnaviyani (Gn),Addu (S),25,111
1990,Male' ,North Thiladhunmathi (HA),1684,81
1990,Male' ,South Thiladhunmathi (HDh),1827,65
1990,Male' ,North Miladhunmadulu (Sh),715,23
1990,Male' ,South Miladhunmadulu (N),1122,40
1990,Male' ,North Maalhosmadulu (R),1352,58
1990,Male' ,South Maalhosmadulu (B),1227,69
1990,Male' ,Faadhippolhu (Lh),1110,47
1990,Male' ,Male' Atoll (K),376,275
1990,Male' ,North Ari Atoll (AA),218,41
1990,Male' ,South Ari Atoll (ADh),668,23
1990,Male' ,Felidhu Atoll (V),185,32
1990,Male' ,Mulakatholhu (M),775,21
1990,Male' ,North Nilandhe Atoll (F),355,30
1990,Male' ,South Nilandhe Atoll (Dh),639,13
1990,Male' ,Kolhumadulu (Th),1931,51
1990,Male' ,Hadhdhunmathi (L),703,39
1990,Male' ,North Huvadhu Atoll (GA),943,21
1990,Male' ,South Huvadhu Atoll (GDh),2455,49
1990,Male' ,Gnaviyani (Gn),691,26
1990,Male' ,Addu (S),4236,47
1990,North Thiladhunmathi (HA),South Thiladhunmathi (HDh),47,33
1990,North Thiladhunmathi (HA),North Miladhunmadulu (Sh),7,7
1990,North Thiladhunmathi (HA),South Miladhunmadulu (N),12,23
1990,North Thiladhunmathi (HA),North Maalhosmadulu (R),18,11
1990,North Thiladhunmathi (HA),South Maalhosmadulu (B),7,10
1990,North Thiladhunmathi (HA),Faadhippolhu (Lh),35,19
1990,North Thiladhunmathi (HA),Male' Atoll (K),4,257
1990,North Thiladhunmathi (HA),North Ari Atoll (AA),1,20
1990,North Thiladhunmathi (HA),South Ari Atoll (ADh),0,13
1990,North Thiladhunmathi (HA),Felidhu Atoll (V),1,9
1990,North Thiladhunmathi (HA),Mulakatholhu (M),21,7
1990,North Thiladhunmathi (HA),North Nilandhe Atoll (F),1,10
1990,North Thiladhunmathi (HA),South Nilandhe Atoll (Dh),6,6
1990,North Thiladhunmathi (HA),Kolhumadulu (Th),16,14
1990,North Thiladhunmathi (HA),Hadhdhunmathi (L),11,10
1990,North Thiladhunmathi (HA),North Huvadhu Atoll (GA),10,8
1990,North Thiladhunmathi (HA),South Huvadhu Atoll (GDh),13,9
1990,North Thiladhunmathi (HA),Gnaviyani (Gn),5,3
1990,North Thiladhunmathi (HA),Addu (S),14,6
1990,South Thiladhunmathi (HDh),North Miladhunmadulu (Sh),48,16
1990,South Thiladhunmathi (HDh),South Miladhunmadulu (N),7,4
1990,South Thiladhunmathi (HDh),North Maalhosmadulu (R),3,9
1990,South Thiladhunmathi (HDh),South Maalhosmadulu (B),3,7
1990,South Thiladhunmathi (HDh),Faadhippolhu (Lh),4,19
1990,South Thiladhunmathi (HDh),Male' Atoll (K),2,428
1990,South Thiladhunmathi (HDh),North Ari Atoll (AA),0,82
1990,South Thiladhunmathi (HDh),South Ari Atoll (ADh),5,12
1990,South Thiladhunmathi (HDh),Felidhu Atoll (V),0,13
1990,South Thiladhunmathi (HDh),Mulakatholhu (M),4,6
1990,South Thiladhunmathi (HDh),North Nilandhe Atoll (F),3,7
1990,South Thiladhunmathi (HDh),South Nilandhe Atoll (Dh),0,2
1990,South Thiladhunmathi (HDh),Kolhumadulu (Th),3,5
1990,South Thiladhunmathi (HDh),Hadhdhunmathi (L),10,7
1990,South Thiladhunmathi (HDh),North Huvadhu Atoll (GA),8,5
1990,South Thiladhunmathi (HDh),South Huvadhu Atoll (GDh),10,4
1990,South Thiladhunmathi (HDh),Gnaviyani (Gn),3,3
1990,South Thiladhunmathi (HDh),Addu (S),15,3
1990,North Miladhunmadulu (Sh),South Miladhunmadulu (N),17,24
1990,North Miladhunmadulu (Sh),North Maalhosmadulu (R),18,27
1990,North Miladhunmadulu (Sh),South Maalhosmadulu (B),10,3
1990,North Miladhunmadulu (Sh),Faadhippolhu (Lh),3,23
1990,North Miladhunmadulu (Sh),Male' Atoll (K),0,204
1990,North Miladhunmadulu (Sh),North Ari Atoll (AA),1,26
1990,North Miladhunmadulu (Sh),South Ari Atoll (ADh),0,17
1990,North Miladhunmadulu (Sh),Felidhu Atoll (V),0,5
1990,North Miladhunmadulu (Sh),Mulakatholhu (M),0,9
1990,North Miladhunmadulu (Sh),North Nilandhe Atoll (F),0,3
1990,North Miladhunmadulu (Sh),South Nilandhe Atoll (Dh),2,2
1990,North Miladhunmadulu (Sh),Kolhumadulu (Th),3,0
1990,North Miladhunmadulu (Sh),Hadhdhunmathi (L),10,1
1990,North Miladhunmadulu (Sh),North Huvadhu Atoll (GA),6,0
1990,North Miladhunmadulu (Sh),South Huvadhu Atoll (GDh),6,2
1990,North Miladhunmadulu (Sh),Gnaviyani (Gn),1,0
1990,North Miladhunmadulu (Sh),Addu (S),13,2
1990,South Miladhunmadulu (N),North Maalhosmadulu (R),61,20
1990,South Miladhunmadulu (N),South Maalhosmadulu (B),2,5
1990,South Miladhunmadulu (N),Faadhippolhu (Lh),21,188
1990,South Miladhunmadulu (N),Male' Atoll (K),2,263
1990,South Miladhunmadulu (N),North Ari Atoll (AA),0,24
1990,South Miladhunmadulu (N),South Ari Atoll (ADh),5,15
1990,South Miladhunmadulu (N),Felidhu Atoll (V),0,13
1990,South Miladhunmadulu (N),Mulakatholhu (M),5,6
1990,South Miladhunmadulu (N),North Nilandhe Atoll (F),0,5
1990,South Miladhunmadulu (N),South Nilandhe Atoll (Dh),1,3
1990,South Miladhunmadulu (N),Kolhumadulu (Th),13,13
1990,South Miladhunmadulu (N),Hadhdhunmathi (L),1,7
1990,South Miladhunmadulu (N),North Huvadhu Atoll (GA),11,8
1990,South Miladhunmadulu (N),South Huvadhu Atoll (GDh),19,8
1990,South Miladhunmadulu (N),Gnaviyani (Gn),5,0
1990,South Miladhunmadulu (N),Addu (S),10,11
1990,North Maalhosmadulu (R),South Maalhosmadulu (B),13,84
1990,North Maalhosmadulu (R),Faadhippolhu (Lh),11,151
1990,North Maalhosmadulu (R),Male' Atoll (K),7,176
1990,North Maalhosmadulu (R),North Ari Atoll (AA),1,42
1990,North Maalhosmadulu (R),South Ari Atoll (ADh),4,7
1990,North Maalhosmadulu (R),Felidhu Atoll (V),1,7
1990,North Maalhosmadulu (R),Mulakatholhu (M),6,12
1990,North Maalhosmadulu (R),North Nilandhe Atoll (F),1,0
1990,North Maalhosmadulu (R),South Nilandhe Atoll (Dh),4,0
1990,North Maalhosmadulu (R),Kolhumadulu (Th),15,17
1990,North Maalhosmadulu (R),Hadhdhunmathi (L),5,6
1990,North Maalhosmadulu (R),North Huvadhu Atoll (GA),6,2
1990,North Maalhosmadulu (R),South Huvadhu Atoll (GDh),8,13
1990,North Maalhosmadulu (R),Gnaviyani (Gn),0,1
1990,North Maalhosmadulu (R),Addu (S),9,3
1990,South Maalhosmadulu (B),Faadhippolhu (Lh),14,52
1990,South Maalhosmadulu (B),Male' Atoll (K),1,116
1990,South Maalhosmadulu (B),North Ari Atoll (AA),15,40
1990,South Maalhosmadulu (B),South Ari Atoll (ADh),6,6
1990,South Maalhosmadulu (B),Felidhu Atoll (V),2,3
1990,South Maalhosmadulu (B),Mulakatholhu (M),3,7
1990,South Maalhosmadulu (B),North Nilandhe Atoll (F),4,2
1990,South Maalhosmadulu (B),South Nilandhe Atoll (Dh),7,2
1990,South Maalhosmadulu (B),Kolhumadulu (Th),7,7
1990,South Maalhosmadulu (B),Hadhdhunmathi (L),8,3
1990,South Maalhosmadulu (B),North Huvadhu Atoll (GA),6,2
1990,South Maalhosmadulu (B),South Huvadhu Atoll (GDh),10,3
1990,South Maalhosmadulu (B),Gnaviyani (Gn),8,7
1990,South Maalhosmadulu (B),Addu (S),13,3
1990,Faadhippolhu (Lh),Male' Atoll (K),24,50
1990,Faadhippolhu (Lh),North Ari Atoll (AA),4,19
1990,Faadhippolhu (Lh),South Ari Atoll (ADh),0,14
1990,Faadhippolhu (Lh),Felidhu Atoll (V),2,9
1990,Faadhippolhu (Lh),Mulakatholhu (M),3,13
1990,Faadhippolhu (Lh),North Nilandhe Atoll (F),0,0
1990,Faadhippolhu (Lh),South Nilandhe Atoll (Dh),2,2
1990,Faadhippolhu (Lh),Kolhumadulu (Th),6,8
1990,Faadhippolhu (Lh),Hadhdhunmathi (L),3,39
1990,Faadhippolhu (Lh),North Huvadhu Atoll (GA),11,21
1990,Faadhippolhu (Lh),South Huvadhu Atoll (GDh),18,26
1990,Faadhippolhu (Lh),Gnaviyani (Gn),9,8
1990,Faadhippolhu (Lh),Addu (S),36,0
1990,Male' Atoll (K),North Ari Atoll (AA),16,8
1990,Male' Atoll (K),South Ari Atoll (ADh),65,14
1990,Male' Atoll (K),Felidhu Atoll (V),23,5
1990,Male' Atoll (K),Mulakatholhu (M),41,7
1990,Male' Atoll (K),North Nilandhe Atoll (F),46,5
1990,Male' Atoll (K),South Nilandhe Atoll (Dh),41,2
1990,Male' Atoll (K),Kolhumadulu (Th),102,3
1990,Male' Atoll (K),Hadhdhunmathi (L),60,1
1990,Male' Atoll (K),North Huvadhu Atoll (GA),88,7
1990,Male' Atoll (K),South Huvadhu Atoll (GDh),151,0
1990,Male' Atoll (K),Gnaviyani (Gn),179,1
1990,Male' Atoll (K),Addu (S),1217,0
1990,North Ari Atoll (AA),South Ari Atoll (ADh),87,15
1990,North Ari Atoll (AA),Felidhu Atoll (V),1,3
1990,North Ari Atoll (AA),Mulakatholhu (M),6,0
1990,North Ari Atoll (AA),North Nilandhe Atoll (F),12,4
1990,North Ari Atoll (AA),South Nilandhe Atoll (Dh),6,3
1990,North Ari Atoll (AA),Kolhumadulu (Th),11,0
1990,North Ari Atoll (AA),Hadhdhunmathi (L),17,0
1990,North Ari Atoll (AA),North Huvadhu Atoll (GA),6,0
1990,North Ari Atoll (AA),South Huvadhu Atoll (GDh),15,0
1990,North Ari Atoll (AA),Gnaviyani (Gn),45,1
1990,North Ari Atoll (AA),Addu (S),163,0
1990,South Ari Atoll (ADh),Felidhu Atoll (V),3,7
1990,South Ari Atoll (ADh),Mulakatholhu (M),1,0
1990,South Ari Atoll (ADh),North Nilandhe Atoll (F),1,3
1990,South Ari Atoll (ADh),South Nilandhe Atoll (Dh),11,2
1990,South Ari Atoll (ADh),Kolhumadulu (Th),14,0
1990,South Ari Atoll (ADh),Hadhdhunmathi (L),2,18
1990,South Ari Atoll (ADh),North Huvadhu Atoll (GA),3,1
1990,South Ari Atoll (ADh),South Huvadhu Atoll (GDh),13,2
1990,South Ari Atoll (ADh),Gnaviyani (Gn),4,1
1990,South Ari Atoll (ADh),Addu (S),75,0
1990,Felidhu Atoll (V),Mulakatholhu (M),26,9
1990,Felidhu Atoll (V),North Nilandhe Atoll (F),41,1
1990,Felidhu Atoll (V),South Nilandhe Atoll (Dh),46,4
1990,Felidhu Atoll (V),Kolhumadulu (Th),8,1
1990,Felidhu Atoll (V),Hadhdhunmathi (L),3,0
1990,Felidhu Atoll (V),North Huvadhu Atoll (GA),1,4
1990,Felidhu Atoll (V),South Huvadhu Atoll (GDh),1,5
1990,Felidhu Atoll (V),Gnaviyani (Gn),0,0
1990,Felidhu Atoll (V),Addu (S),13,0
1990,Mulakatholhu (M),North Nilandhe Atoll (F),9,2
1990,Mulakatholhu (M),South Nilandhe Atoll (Dh),12,8
1990,Mulakatholhu (M),Kolhumadulu (Th),15,9
1990,Mulakatholhu (M),Hadhdhunmathi (L),8,3
1990,Mulakatholhu (M),North Huvadhu Atoll (GA),1,3
1990,Mulakatholhu (M),South Huvadhu Atoll (GDh),5,7
1990,Mulakatholhu (M),Gnaviyani (Gn),1,2
